出发地,目的地,仅看直飞,舱型,乘客类型
美洲,欧洲,no,头等舱,成人与儿童与婴儿,10
欧洲,亚洲,yes,经济/超经舱,成人与儿童与婴儿,10
国内,亚洲,no,头等舱,成人与婴儿,10
美洲,国内,yes,公务/头等舱,仅成人,10
美洲,非洲,no,经济/超经舱,成人与婴儿,10
亚洲,美洲,yes,经济/超经舱,成人与婴儿,10
欧洲,大洋洲,no,公务舱,成人与婴儿,10
国内,美洲,yes,头等舱,成人与儿童,10
欧洲,国际·中国港澳台热门,no,公务/头等舱,成人与儿童与婴儿,10
国际·中国港澳台热门,非洲,yes,公务舱,成人与婴儿,10
大洋洲,国内,no,公务/头等舱,成人与婴儿,10
大洋洲,欧洲,yes,头等舱,成人与婴儿,10
欧洲,欧洲,no,经济/超经舱,仅成人,10
非洲,美洲,yes,公务舱,仅成人,10
国内,国内,no,公务舱,成人与儿童,10
国际·中国港澳台热门,亚洲,yes,公务/头等舱,成人与儿童,10
亚洲,大洋洲,no,经济/超经舱,成人与儿童,10
亚洲,大洋洲,yes,头等舱,成人与儿童与婴儿,10
非洲,国内,no,头等舱,仅成人,10
美洲,国际·中国港澳台热门,yes,经济/超经舱,成人与儿童,10
大洋洲,美洲,no,经济/超经舱,成人与儿童与婴儿,10
国际·中国港澳台热门,大洋洲,no,公务/头等舱,仅成人,10
大洋洲,大洋洲,yes,公务舱,成人与儿童,10
非洲,欧洲,yes,公务/头等舱,成人与儿童与婴儿,10
美洲,国际·中国港澳台热门,no,公务舱,仅成人,10
国内,国际·中国港澳台热门,yes,公务舱,成人与儿童与婴儿,10
大洋洲,非洲,no,头等舱,成人与儿童,10
大洋洲,非洲,yes,经济/超经舱,仅成人,10
国内,大洋洲,yes,公务/头等舱,成人与婴儿,10
非洲,亚洲,no,公务舱,成人与儿童与婴儿,10
非洲,美洲,no,公务/头等舱,成人与儿童,10
国际·中国港澳台热门,亚洲,yes,头等舱,仅成人,9
国际·中国港澳台热门,国内,yes,经济/超经舱,成人与儿童与婴儿,9
欧洲,国内,yes,公务舱,成人与婴儿,8
